Clinic Name,Phone,Address,City,ZIP,County,Service Type
Sanford Health – Walker Clinic Rehabilitation,218-547-6900,614 Michigan Ave,Walker,56484,Cass,Hospital outpatient rehabilitation
CCM Health Rehabilitation Services,320-269-8877,824 N 11th St,Montevideo,56265,Chippewa,Hospital rehab center
Montevideo Massage Therapy,320-269-4444,202 S 1st St,Montevideo,56265,Chippewa,Massage therapy
Montevideo Physical Therapy Clinic,320-269-8870,1117 N 7th St,Montevideo,56265,Chippewa,PT clinic
Essentia Health – Moorhead Physical Therapy,701-364-3000,801 Belsly Blvd,Moorhead,56560,Clay,Hospital rehabilitation clinic
Moorhead Massage Therapy Clinic,218-233-1171,1500 11th St N,Moorhead,56560,Clay,Therapeutic massage services
ProRehab Physical Therapy,218-236-8063,3101 25th St S,Moorhead,56560,Clay,Private PT clinic
Sanford Health – Moorhead Rehabilitation,701-234-6161,4000 28th Ave S,Moorhead,56560,Clay,Large regional rehab center
NovaCare Rehabilitation,320-558-6661,,Clearwater,,Clearwater,Sports injuries and work‑related injury rehabilitation
Grand Marais Massage Therapy,218-387-3320,17 W Wisconsin St,Grand Marais,55604,Cook,Massage therapy
Grand Marais Physical Therapy Clinic,218-387-2500,101 W Hwy 61,Grand Marais,55604,Cook,PT clinic
North Shore Health Rehabilitation Services,218-387-3040,515 5th Ave W,Grand Marais,55604,Cook,Hospital rehab center
North Shore Health – Rehabilitation,218-387-3040,,Grand Marais,55604,Cook,Hospital‑based rehab services
Windom Area Health Rehabilitation,507-831-2400,2150 Hospital Dr,Windom,56101,Cottonwood,Hospital rehab services
Windom Massage Therapy,507-831-5555,335 10th St,Windom,56101,Cottonwood,Massage therapy
Windom Physical Therapy Center,507-831-2222,920 3rd Ave,Windom,56101,Cottonwood,PT clinic
Big Stone Therapies – Baxter,218-454-4143,13760 Cypress Dr,Baxter,56425,Crow Wing,Outpatient rehabilitation clinic
Northern Orthopedics Physical Therapy,218-454-2626,8406 Excelsior Rd,Baxter,56425,Crow Wing,Orthopedic therapy clinic
Brainerd Massage Therapy,218-822-5885,510 Laurel St,Brainerd,56401,Crow Wing,Massage therapy clinic
Essentia Health – Brainerd Rehabilitation,218-829-2861,2024 S 6th St,Brainerd,56401,Crow Wing,Hospital rehabilitation center
Apple Valley Massage Therapy,952-432-8888,15322 Galaxie Ave,Apple Valley,55124,Dakota,Massage therapy clinic
NovaCare Rehabilitation – Apple Valley,952-432-4345,14655 Galaxie Ave,Apple Valley,55124,Dakota,PT clinic
Burnsville Physical Therapy Clinic,952-898-1800,14050 Nicollet Ave,Burnsville,55337,Dakota,Outpatient PT clinic
Twin Cities Orthopedics – Eagan,952-456-7000,2700 Vikings Cir,Eagan,55121,Dakota,Orthopedic clinic
Kasson Massage Therapy,507-634-4200,24 S Mantorville Ave,Kasson,55944,Dodge,Massage therapy
Kasson Physical Therapy Clinic,507-634-3332,101 Mantorville Ave N,Kasson,55944,Dodge,Outpatient PT clinic
Mayo Clinic Health System Physical Therapy,507-634-6400,411 W Main St,Kasson,55944,Dodge,Hospital PT clinic
Advantage Rehab,320-219-9680,700 Cedar St Suite 153,Alexandria,56308,Douglas,Private therapy clinic
Alomere Health Rehab Services,320-762-6079,207 18th Ave E,Alexandria,56308,Douglas,Hospital rehabilitation department
Heartland Orthopedics Physical Therapy,320-335-6067,111 17th Ave E,Alexandria,56308,Douglas,Orthopedic specialty clinic
Northwest Rehabilitation,320-763-5505,410 30th Ave E Suite 102,Alexandria,56308,Douglas,Private rehabilitation clinic
Sanford Health Rehabilitation,320-762-0399,1527 Broadway St,Alexandria,56308,Douglas,Hospital outpatient rehab
Blue Earth Massage Therapy,507-526-4100,110 N Grove St,Blue Earth,56013,Faribault,Massage therapy
Blue Earth Physical Therapy,507-526-5555,125 W 6th St,Blue Earth,56013,Faribault,Outpatient PT clinic
United Hospital District Rehab Services,507-526-7388,515 S Moore St,Blue Earth,56013,Faribault,Hospital rehab services
Harmony Physical Therapy,507-886-6000,20 Main Ave N,Harmony,55939,Fillmore,PT clinic
Fillmore County Hospital Rehab,507-765-3800,165 Main St W,Preston,55965,Fillmore,Hospital rehab department
Preston Massage Therapy,507-765-2500,102 Fillmore St,Preston,55965,Fillmore,Massage therapy
Albert Lea Massage Therapy,507-377-7777,120 W Clark St,Albert Lea,56007,Freeborn,Massage therapy
Albert Lea Physical Therapy,507-377-3100,132 Bridge Ave,Albert Lea,56007,Freeborn,PT clinic
Mayo Clinic Health System – Albert Lea Rehabilitation,507-377-6450,404 W Fountain St,Albert Lea,56007,Freeborn,Mayo system rehab center
Mayo Clinic Health System – Red Wing Rehabilitation,651-267-5500,701 Hewitt Blvd,Red Wing,55066,Goodhue,Hospital rehab center
Orthopedic Physical Therapy of Red Wing,651-388-6600,1407 Old West Main St,Red Wing,55066,Goodhue,PT clinic
Red Wing Massage Therapy,651-388-8080,418 Bush St,Red Wing,55066,Goodhue,Massage therapy
Grant County Physical Therapy Services,218-685-5314,204 Central Ave N,Elbow Lake,56531,Grant,Local PT clinic
Sanford Health – Elbow Lake Clinic,218-685-7300,1411 Highway 79 E,Elbow Lake,56531,Grant,Clinic offering rehabilitation services
Wellness Massage Therapy,218-685-4030,104 Central Ave S,Elbow Lake,56531,Grant,Therapeutic massage clinic
TRIA Orthopedic Center – Physical Therapy,952-806-5600,8100 Northland Dr,Bloomington,55431,Hennepin,Orthopedic and sports rehabilitation center
Courage Kenny Rehabilitation Institute,612-775-2000,3915 Golden Valley Rd,Golden Valley,55422,Hennepin,Large rehabilitation institute
Minneapolis Massage & Bodywork,612-872-5555,112 W 26th St,Minneapolis,55404,Hennepin,Massage therapy clinic
NovaCare Rehabilitation – Minneapolis,612-339-2041,825 Nicollet Mall,Minneapolis,55402,Hennepin,Outpatient PT clinic
Caledonia Massage Therapy,507-725-4100,121 S Kingston St,Caledonia,55921,Houston,Massage therapy
Caledonia Physical Therapy Clinic,507-725-5200,125 E Grove St,Caledonia,55921,Houston,PT clinic
Gundersen Health System Rehabilitation – Caledonia,507-725-3379,183 Spruce St,Caledonia,55921,Houston,Hospital rehab services
Back In Motion Physical Therapy,218-346-2464,,Park Rapids,56470,Hubbard,Manual therapy and dry needling
CHI St Joseph’s Health Rehabilitation,218-732-3311,600 Pleasant Ave,Park Rapids,56470,Hubbard,Hospital rehab services
CHI St. Joseph’s Health – Rehab Services,218-732-3311,,Park Rapids,56470,Hubbard,Hospital rehab department
Essentia Health – Outpatient Physical Therapy,218-732-6371,,Park Rapids,56470,Hubbard,Orthopedic and neurological rehabilitation
Park Rapids Massage Therapy,218-732-8888,201 Main Ave S,Park Rapids,56470,Hubbard,Massage therapy
Park Rapids Physical Therapy,218-732-5444,110 7th St W,Park Rapids,56470,Hubbard,PT clinic
Big Stone Therapies – Grand Rapids,218-326-1111,510 SE 13th St,Grand Rapids,55744,Itasca,Outpatient therapy
Grand Itasca Clinic & Hospital Rehabilitation,218-326-3401,1601 Golf Course Rd,Grand Rapids,55744,Itasca,Hospital rehab center
Grand Itasca Clinic & Hospital – Rehab,218-326-3401,1601 Golf Course Rd,Grand Rapids,55744,Itasca,Full rehabilitation center
Grand Rapids Massage Therapy,218-326-5555,315 NE 2nd Ave,Grand Rapids,55744,Itasca,Massage therapy
Patti Kampa Physical Therapy,218-326-2200,,Grand Rapids,55744,Itasca,Local functional rehabilitation clinic
Radtke Physical Therapy,218-326-3300,,Grand Rapids,55744,Itasca,Outpatient PT clinic
Jackson Massage Therapy,507-847-3333,312 2nd St,Jackson,56143,Jackson,Massage therapy
Jackson Physical Therapy Clinic,507-847-2250,405 Sherman St,Jackson,56143,Jackson,PT clinic
Sanford Jackson Medical Center Rehabilitation,507-847-2420,1430 North Hwy,Jackson,56143,Jackson,Hospital rehab services
Kanabec County Massage Therapy,320-679-4555,208 Maple Ave,Mora,55051,Kanabec,Massage therapy clinic
Mora Physical Therapy Clinic,320-679-3333,600 Clark St,Mora,55051,Kanabec,Outpatient PT clinic
Welia Health Rehabilitation,320-679-1212,301 Highway 65 S,Mora,55051,Kanabec,Hospital rehab services
Big Stone Therapies – Willmar,320-214-7744,1305 1st St S,Willmar,56201,Kandiyohi,Outpatient rehab clinic
CentraCare – Willmar Rehabilitation Services,320-231-5000,101 Willmar Ave SW,Willmar,56201,Kandiyohi,Hospital rehab center
Willmar Physical Therapy & Massage,320-235-6060,1605 1st St S,Willmar,56201,Kandiyohi,PT clinic
Big Stone Therapies – Hallock,218-843-3834,,Hallock,56728,Kittson,Outpatient therapy partner clinic
Hallock Massage Therapy,218-843-4444,115 N 3rd St,Hallock,56728,Kittson,Massage therapy
Kittson County Physical Therapy Clinic,218-843-2456,202 S Atlantic Ave,Hallock,56728,Kittson,PT clinic
Kittson Healthcare,218-843-3612,,Hallock,56728,Kittson,Rural hospital rehab services
Kittson Healthcare Rehabilitation Services,218-843-3612,1010 S Birch Ave,Hallock,56728,Kittson,Hospital rehab services
International Falls Massage Therapy,218-283-7777,320 3rd Ave,International Falls,56649,Koochiching,Massage therapy
International Falls Physical Therapy,218-283-2555,900 5th St,International Falls,56649,Koochiching,PT clinic
Rainy Lake Medical Center Rehabilitation,218-283-3500,1400 US Hwy 71,International Falls,56649,Koochiching,Hospital rehab services
Rainy Lake Medical Center – Rehab,218-283-4481,,International Falls,56649,Koochiching,Hospital therapy department
Madison Healthcare Services Rehabilitation,320-598-7551,900 Johnson St,Madison,56256,Lac qui Parle,Hospital rehab services
Madison Massage Therapy,320-598-2222,115 1st St E,Madison,56256,Lac qui Parle,Massage therapy
Madison Physical Therapy Clinic,320-598-4444,208 6th Ave,Madison,56256,Lac qui Parle,PT clinic
Aspirus Lake View Medical Center – Rehab,218-834-7310,,Two Harbors,55616,Lake,Hospital‑based therapy
Bodies In Balance PT & Massage,218-834-2586,,Two Harbors,55616,Lake,Sports and orthopedic rehab
Lake View Hospital Rehabilitation Services,218-834-7300,325 11th Ave,Two Harbors,55616,Lake,Hospital rehab services
Two Harbors Massage Therapy,218-834-8888,403 1st Ave,Two Harbors,55616,Lake,Massage therapy
Two Harbors Physical Therapy Clinic,218-834-4444,802 7th Ave,Two Harbors,55616,Lake,PT clinic
Baudette Massage Therapy,218-634-7777,109 Main Ave N,Baudette,56623,Lake of the Woods,Massage therapy
Baudette Physical Therapy Clinic,218-634-4444,215 3rd St NW,Baudette,56623,Lake of the Woods,PT clinic
LakeWood Health Center Rehabilitation,218-634-2125,600 Main Ave S,Baudette,56623,Lake of the Woods,Hospital rehab services
LakeWood Health Center – Therapy,218-634-3429,,Baudette,56623,Lake of the Woods,Hospital rehabilitation services
Le Center Massage Therapy,507-357-5555,110 W Main St,Le Center,56057,Le Sueur,Massage therapy
Le Center Physical Therapy,507-357-2222,25 S Park Ave,Le Center,56057,Le Sueur,PT clinic
Mayo Clinic Health System – Le Sueur Rehabilitation,507-665-4530,621 S Park Ave,Le Center,56057,Le Sueur,Hospital rehab services
Lincoln County Massage Therapy,507-694-1234,114 N Norman St,Ivanhoe,56142,Lincoln,Massage therapy
Avera Therapy – Tyler Clinic,507-247-5500,1000 N Tyler St,Tyler,56178,Lincoln,PT clinic
Avera Tyler Hospital – Rehabilitation Services,507-247-5521,240 Willow St,Tyler,56178,Lincoln,Hospital rehab services
Big Stone Therapies – Marshall,507-537-9197,300 S Bruce St,Marshall,56258,Lyon,Outpatient rehab clinic
Orthopedic Institute – Marshall,888-331-5890,104 W Redwood St,Marshall,56258,Lyon,Orthopedic PT clinic
Mahnomen Health Center,218-935-2511,,Mahnomen,56557,Mahnomen,Rural medical center rehabilitation
Mahnomen Health Center Rehabilitation,218-935-2517,414 W Jefferson Ave,Mahnomen,56557,Mahnomen,Hospital rehab services
Mahnomen Massage Therapy,218-935-5555,205 Jefferson Ave,Mahnomen,56557,Mahnomen,Massage therapy
Mahnomen Physical Therapy Clinic,218-935-3333,211 N Main St,Mahnomen,56557,Mahnomen,PT clinic
North Valley Health Center,218-745-4211,,Warren,56762,Marshall,Critical access hospital therapy
North Valley Health Center Rehabilitation,218-745-4211,300 W Good Samaritan Dr,Warren,56762,Marshall,Hospital rehab services
Warren Massage Therapy,218-745-4444,206 S Main St,Warren,56762,Marshall,Massage therapy
Warren Physical Therapy Clinic,218-745-3333,115 E Johnson Ave,Warren,56762,Marshall,PT clinic
Fairmont Massage Therapy,507-238-3333,115 E Blue Earth Ave,Fairmont,56031,Martin,Massage therapy
Fairmont Physical Therapy Clinic,507-238-3400,121 Downtown Plaza,Fairmont,56031,Martin,PT clinic
Mayo Clinic Health System – Fairmont Rehabilitation,507-238-8100,800 Medical Center Dr,Fairmont,56031,Martin,Hospital rehab services
Mille Lacs Health System Physical Therapy,320-983-8415,200 Elm St N,Onamia,56359,Mille Lacs,Hospital rehab services
Fairview Rehabilitation Services – Princeton,763-389-1313,911 Northland Dr,Princeton,55371,Mille Lacs,Hospital therapy center
Princeton Massage Therapy Clinic,763-389-4088,1106 1st St,Princeton,55371,Mille Lacs,Massage therapy clinic
Little Falls Massage Therapy,320-632-5535,116 Broadway E,Little Falls,56345,Morrison,Massage therapy services
Northern Pines Physical Therapy,320-632-3444,905 3rd Ave NE,Little Falls,56345,Morrison,Private PT clinic
St. Gabriel’s Hospital Rehabilitation Services,320-631-2200,815 SE 2nd St,Little Falls,56345,Morrison,Hospital rehabilitation department
Austin Massage Therapy,507-437-5000,402 N Main St,Austin,55912,Mower,Massage therapy
Austin Physical Therapy Clinic,507-437-8200,901 14th St NW,Austin,55912,Mower,PT clinic
Mayo Clinic Health System – Austin Rehabilitation,507-434-1400,1000 1st Dr NW,Austin,55912,Mower,Hospital rehab center
Murray County Medical Center Rehabilitation,507-836-6111,2042 Juniper Ave,Slayton,56172,Murray,Hospital rehab services
Slayton Massage Therapy,507-836-5555,2711 Broadway Ave,Slayton,56172,Murray,Massage therapy
re+active WELLness – Slayton Satellite Clinic,507-522-5717,2314 26th St,Slayton,56172,Murray,PT clinic
River’s Edge Hospital Rehabilitation,507-934-2325,1900 Sunrise Dr,St Peter,56082,Nicollet,Hospital rehab services
St Peter Massage Therapy,507-934-7777,314 S Minnesota Ave,St Peter,56082,Nicollet,Massage therapy
St Peter Physical Therapy Clinic,507-931-3450,625 S Minnesota Ave,St Peter,56082,Nicollet,PT clinic
Sanford Worthington Medical Center Rehabilitation,507-372-3800,1018 6th Ave,Worthington,56187,Nobles,Hospital rehab center
Worthington Massage Therapy,507-376-4444,705 10th St,Worthington,56187,Nobles,Massage therapy
Worthington Physical Therapy,507-376-2220,1432 Oxford St,Worthington,56187,Nobles,PT clinic
Ada Massage Therapy,218-784-7777,105 E Thorpe Ave,Ada,56510,Norman,Massage therapy
Ada Physical Therapy Clinic,218-784-5555,202 W Main St,Ada,56510,Norman,PT clinic
Mayo Clinic Rehabilitation Center,507-284-2511,200 First St SW,Rochester,55905,Olmsted,Major rehabilitation center
Rochester Athletic & Physical Therapy,507-288-1474,1117 2nd St SW,Rochester,55902,Olmsted,PT clinic
Rochester Massage Therapy,507-289-3333,1035 Civic Center Dr,Rochester,55902,Olmsted,Massage therapy
Lake Region Healthcare Rehab,218-736-8000,712 Cascade St S,Fergus Falls,56537,Otter Tail,Hospital rehabilitation services
Massage by Emily,218-731-2144,119 W Lincoln Ave,Fergus Falls,56537,Otter Tail,Massage therapy services
Northwest Rehabilitation – Fergus Falls,218-998-0701,1304 Lincoln Ave W,Fergus Falls,56537,Otter Tail,Private rehab clinic
RehabAuthority – Fergus Falls,218-739-2331,1114 N Union Ave,Fergus Falls,56537,Otter Tail,Private PT clinic
Altru Clinic – Rehab / Physical Therapy,218-681-7280,,Thief River Falls,56701,Pennington,Sports medicine and injury rehabilitation
Sanford Thief River Falls Medical Center Rehabilitation,218-683-4240,3001 Sanford Pkwy,Thief River Falls,56701,Pennington,Hospital rehab services
Thief River Falls Massage Therapy,218-683-8888,207 Main Ave N,Thief River Falls,56701,Pennington,Massage therapy
Thief River Falls Physical Therapy,218-683-5555,1521 Highway 59 S,Thief River Falls,56701,Pennington,PT clinic
Pipestone County Medical Center – Rehabilitation Services,507-825-6054,916 4th Ave SW,Pipestone,56164,Pipestone,Hospital rehab center
Pipestone Massage & Wellness,507-690-2560,111 W Main St Suite 3,Pipestone,56164,Pipestone,Massage therapy
re+active WELLness Physical Therapy,507-522-5717,213 W Main St,Pipestone,56164,Pipestone,Private PT clinic
Altru Clinic – Crookston,218-281-9100,,Crookston,56716,Polk,Hospital outpatient therapy
Crookston Massage Therapy,218-281-7777,210 E 3rd St,Crookston,56716,Polk,Massage therapy
Crookston Physical Therapy Clinic,218-281-4444,402 N Broadway,Crookston,56716,Polk,PT clinic
RiverView Health Rehabilitation Services,218-281-9200,323 S Minnesota St,Crookston,56716,Polk,Hospital rehab services
RiverView Health – Crookston Rehab,218-281-9200,,Crookston,56716,Polk,Comprehensive rehab services
Summit Orthopedics Physical Therapy,651-968-5201,2620 Eagan Woods Dr,Eagan,55121,Ramsey,Orthopedic specialty clinic
HealthPartners Rehabilitation – St Paul,651-254-5600,401 Phalen Blvd,St Paul,55130,Ramsey,Hospital rehab clinic
St Paul Massage Therapy Clinic,651-698-1234,755 Snelling Ave S,St Paul,55116,Ramsey,Massage therapy services
St Paul Physical Therapy Center,651-644-7000,859 Pierce Butler Route,St Paul,55104,Ramsey,Outpatient PT clinic
Red Lake Falls Massage Therapy,218-253-4444,120 Main Ave,Red Lake Falls,56750,Red Lake,Massage therapy
Red Lake Falls Physical Therapy,218-253-3333,205 International Dr,Red Lake Falls,56750,Red Lake,PT clinic
RiverView Health – Red Lake Falls Rehab,218-281-9200,,Red Lake Falls,56750,Red Lake,Orthopedic and neurological rehab
Sanford Red Lake Falls Clinic Rehabilitation,218-253-2164,247 Hwy 32 S,Red Lake Falls,56750,Red Lake,Hospital rehab services
CentraCare Redwood Hospital Rehabilitation,507-637-4500,100 Fallwood Rd,Redwood Falls,56283,Redwood,Hospital rehab services
Redwood Area Physical Therapy,507-637-2988,400 E Bridge St,Redwood Falls,56283,Redwood,PT clinic
Redwood Falls Massage Therapy,507-637-8888,230 S Mill St,Redwood Falls,56283,Redwood,Massage therapy
Olivia Massage Therapy,320-523-4444,114 S 9th St,Olivia,56277,Renville,Massage therapy
Olivia Physical Therapy Clinic,320-523-2020,1005 Lincoln Ave E,Olivia,56277,Renville,PT clinic
Renville County Hospital & Clinics – Rehabilitation,320-523-1261,611 E Fairview Ave,Olivia,56277,Renville,Hospital rehab center
District One Hospital Rehabilitation,507-332-7321,200 State Ave,Faribault,55021,Rice,Hospital rehab services
Northfield Massage Therapy,507-645-8888,316 Division St,Northfield,55057,Rice,Massage therapy
Northfield Physical Therapy,507-645-7770,2014 Jefferson Rd,Northfield,55057,Rice,PT clinic
Luverne Massage Therapy,507-283-4333,110 E Main St,Luverne,56156,Rock,Massage therapy
Sanford Luverne Medical Center Rehabilitation,507-449-1212,1600 N Kniss Ave,Luverne,56156,Rock,Hospital rehab services
Sanford Luverne Physical Therapy Clinic,507-449-1221,110 S Freeman Ave,Luverne,56156,Rock,PT clinic
LifeCare Medical Center Rehabilitation,218-463-2500,715 Delmore Dr,Roseau,56751,Roseau,Hospital rehab services
LifeCare Medical Center – Rehab,218-463-2500,,Roseau,56751,Roseau,Hospital rehabilitation services
Roseau Massage Therapy,218-463-7777,115 3rd St NE,Roseau,56751,Roseau,Massage therapy
Roseau Physical Therapy Clinic,218-463-4444,300 Main Ave N,Roseau,56751,Roseau,PT clinic
NovaCare Rehabilitation – Shakopee,952-445-9000,327 Marschall Rd,Shakopee,55379,Scott,Outpatient PT clinic
Shakopee Massage Therapy,952-445-5000,225 Lewis St S,Shakopee,55379,Scott,Massage therapy
Elk River Physical Therapy,763-241-7800,10197 Twin Lakes Rd,Elk River,55330,Sherburne,Outpatient therapy clinic
Fairview Physical Therapy – Elk River,763-241-3550,14181 Business Center Dr,Elk River,55330,Sherburne,Hospital rehab clinic
NovaCare Rehabilitation – Elk River,763-241-5300,16776 Zane St NW,Elk River,55330,Sherburne,Private PT clinic
St. Luke’s Rehabilitation Services,218-249-6040,,Duluth,55802,St. Louis,Hospital-based rehabilitation
CentraCare Rehabilitation Services,320-251-2700,1406 6th Ave N,St. Cloud,56303,Stearns,Hospital rehabilitation network
NovaCare Rehabilitation – St. Cloud,320-229-4929,1575 13th Ave E,St. Cloud,56304,Stearns,Private PT clinic
Performance Physical Therapy,320-257-5343,3535 12th St N,St. Cloud,56303,Stearns,Outpatient rehabilitation
Owatonna Hospital Rehabilitation,507-451-1120,2250 26th St NW,Owatonna,55060,Steele,Hospital rehab services
Owatonna Massage Therapy,507-455-4400,136 W Bridge St,Owatonna,55060,Steele,Massage therapy
Owatonna Physical Therapy,507-455-2240,245 Cedar Ave,Owatonna,55060,Steele,PT clinic
Benson Massage Therapy,320-843-2222,202 13th St S,Benson,56215,Swift,Massage therapy
Benson Physical Therapy Clinic,320-843-5555,1201 Atlantic Ave,Benson,56215,Swift,PT clinic
CentraCare Benson Hospital Rehabilitation,320-843-2030,1815 Wisconsin Ave,Benson,56215,Swift,Hospital rehab services
CentraCare Long Prairie Rehabilitation,320-732-2141,20 9th St SE,Long Prairie,56347,Todd,Hospital rehab center
Long Prairie Physical Therapy,320-732-5123,205 2nd St S,Long Prairie,56347,Todd,Local PT clinic
Todd County Massage Therapy,320-732-3345,108 Central Ave,Long Prairie,56347,Todd,Massage therapy services
Big Stone Therapies – Wheaton,320-563-8112,456 2nd St N,Wheaton,56296,Traverse,Outpatient PT clinic
Wheaton Community Hospital Rehab,320-563-8500,101 8th St N,Wheaton,56296,Traverse,Hospital rehab department
Wheaton Massage Therapy,320-563-4222,809 Broadway Ave,Wheaton,56296,Traverse,Therapeutic massage clinic
Gundersen St Elizabeth Rehabilitation,651-565-4531,1200 Grant Blvd,Wabasha,55981,Wabasha,Hospital rehab services
Wabasha Massage Therapy,651-565-7777,412 Main St,Wabasha,55981,Wabasha,Massage therapy
Wabasha Physical Therapy,651-565-3100,611 Broadway Ave,Wabasha,55981,Wabasha,PT clinic
Mayo Clinic Health System – Waseca Rehabilitation,507-835-0650,501 N State St,Waseca,56093,Waseca,Hospital rehab services
Waseca Massage Therapy,507-835-3333,105 Elm Ave,Waseca,56093,Waseca,Massage therapy
Waseca Physical Therapy,507-835-4400,209 2nd St NE,Waseca,56093,Waseca,PT clinic
HealthPartners Rehabilitation – Woodbury,651-439-8807,205 Wedgewood Dr,Woodbury,55125,Washington,Outpatient rehab clinic
TRIA Physical Therapy – Woodbury,952-806-5600,4040 Radio Dr,Woodbury,55129,Washington,Physical therapy clinic
Woodbury Massage Therapy,651-739-9090,8160 Coller Way,Woodbury,55125,Washington,Massage clinic
Mayo Clinic Health System – St James Rehabilitation,507-375-3111,1101 Moulton Dr,St James,56081,Watonwan,Hospital rehab services
St James Massage Therapy,507-375-4444,112 Armstrong Blvd,St James,56081,Watonwan,Massage therapy
St James Physical Therapy Clinic,507-375-8888,605 1st Ave S,St James,56081,Watonwan,PT clinic
Breckenridge Massage Therapy,218-643-2277,517 Minnesota Ave,Breckenridge,56520,Wilkin,Therapeutic massage clinic
Sanford Breckenridge Clinic Rehab,218-643-0499,1300 N 5th St,Breckenridge,56520,Wilkin,Clinic rehab services
St. Francis Medical Center Rehab,218-643-3000,2400 St Francis Dr,Breckenridge,56520,Wilkin,Hospital rehabilitation department
Winona Health Rehabilitation,507-457-4329,855 Mankato Ave,Winona,55987,Winona,Hospital rehab center
Winona Massage Therapy,507-452-8888,55 W 3rd St,Winona,55987,Winona,Massage therapy
Winona Physical Therapy,507-454-5700,420 E Sarnia St,Winona,55987,Winona,PT clinic
Allina Health Physical Therapy – Buffalo,763-684-8000,303 Catlin St,Buffalo,55313,Wright,Hospital therapy center
